concreteness	aoa	frequency	word
1.46	2.89	6.0175	a
2.92			a cappella
		1.9445	aa
		1.415	aaa
		3.4296	aah
		0.301	aahed
		0.4771	aahing
		0.7782	aahs
		0.301	aal
4.68	9.89	1.3424	aardvark
3.0			aardwolf
		1.5315	aargh
		2.8739	aaron
		0.301	aarrgh
		0.301	aarrghh
		0.4771	aas
		1.8808	ab
		0.6990000000000001	aba
2.38		0.301	abaca
1.65		1.2041	aback
4.52	8.69	1.1139	abacus
		0.301	abacuses
		1.0414	abaddon
2.8		0.4771	abaft
3.72	12.23	1.4314	abalone
		0.8451	abalones
2.54	8.32	2.617	abandon
2.52		2.8319	abandoned
2.92			abandonee
2.5	11.89	0.301	abandoner
		1.9395	abandoning
2.54	10.27	1.699	abandonment
		1.1761	abandons
1.63	14.57	0.6021	abase
1.83			abased
1.67	15.13		abasement
1.83			abash
1.88			abashed
1.75			abashedly
1.35			abashment
		0.301	abastard
2.06			abatable
2.32	14.44	0.7782	abate
		0.6990000000000001	abated
1.92	15.12	0.6021	abatement
		0.4771	abates
		0.301	abating
2.92	15.17	0.9031	abattoir
		0.6021	abay
		0.6021	abb
		1.0	abba
2.0	14.5		abbacy
		0.7782	abbas
1.2			abbatial
3.12		0.4771	abbe
3.06	15.43	0.4771	abbess
		0.301	abbesses
4.2	13.06	2.2122	abbey
3.18	12.1	1.6435	abbot
2.0			abbotship
		2.6042	abbott
2.59	9.95	0.301	abbreviate
3.1	10.5	1.2304	abbreviated
3.07	9.11	1.1139	abbreviation
		1.0414	abbreviations
1.86			abbreviator
		2.8048	abby
		2.0969	abc
		0.301	abd
2.0			abdicable
2.15			abdicant
2.08	12.6	1.0	abdicate
		0.9031	abdicated
		0.301	abdicates
		0.6021	abdicating
2.12	14.94	0.8451	abdication
1.8			abdicative
2.32			abdicator
4.7	8.61	2.2355	abdomen
		0.6021	abdomens
4.28	10.24	2.2430000000000003	abdominal
3.15			abdominally
		0.9031	abdominals
2.88	11.26	1.5682	abduct
		2.4082	abducted
3.27		1.3222	abductee
		1.2788	abductees
		1.2304	abducting
3.07	11.94	2.2695	abduction
		1.6335	abductions
3.89	11.11	1.2788	abductor
		1.0792	abductors
		0.9542	abducts
2.5	13.4	0.9031	abeam
2.2			abecedarian
2.56			abecedary
2.22		1.0414	abed
		1.8388	abel
1.62		0.301	abele
		1.0	abend
		1.2553	aberdeen
		0.301	abernethy
1.67			aberrance
1.79			aberrancy
1.47	13.31	1.2041	aberrant
1.95	12.69	1.4624	aberration
1.8			aberrational
		0.9542	aberrations
2.0	12.15	0.7782	abet
2.36			abetment
		0.9542	abetted
		1.4314	abetting
2.47	15.55	0.301	abettor
1.88	15.0	0.4771	abeyance
1.67			abeyant
1.81	13.76	1.1139	abhor
		0.9031	abhorred
2.15			abhorrence
2.12	12.14	1.0	abhorrent
2.04			abhorrently
2.3			abhorrer
1.68			abhorring
		0.6990000000000001	abhors
1.75			abidance
1.68	9.5	2.1430000000000002	abide
		0.6021	abided
3.27			abider
		0.301	abiders
		0.6990000000000001	abides
2.07	10.3	1.415	abiding
1.82			abidingly
1.56			abidingness
		2.1903	abigail
		1.8388	abilene
		2.4955	abilities
1.81	8.84	2.9917	ability
2.09			abiogenesis
1.8			abiogenetically
		0.6021	abiogenist
		0.301	abit
1.67	14.0	1.3222	abject
2.05			abjection
2.1		0.6021	abjectly
1.52			abjectness
1.71			abjudicate
2.44	17.12		abjuration
1.44			abjuratory
1.33	14.6	0.301	abjure
2.14			abjurer
2.41		0.301	ablate
		0.301	ablated
2.29	13.29	0.301	ablation
1.33			ablative
3.0			ablator
2.38			ablaut
3.82	10.83	1.3424	ablaze
2.38	7.79	3.9115	able
2.36		0.301	abler
2.12		0.4771	ablest
3.05		0.6021	abloom
2.44	13.64	0.6021	ablution
2.13			ablutionary
		0.6990000000000001	ablutions
1.78		1.0	ably
1.2			abnegate
1.4			abnegation
1.9			abnegator
		2.238	abner
2.14	10.05	2.1732	abnormal
		1.415	abnormalities
2.48	11.58	1.4314	abnormality
1.75		1.3222	abnormally
2.09		0.301	abnormity
		0.8451	abo
3.97	8.66	3.1332	aboard
3.92	12.06	1.5315	abode
		0.4771	abogado
2.19	10.42	1.3979	abolish
1.96			abolishable
		1.3222	abolished
2.29			abolisher
		0.301	abolishes
		0.4771	abolishing
2.31			abolishment
2.43	13.28	1.0414	abolition
2.55			abolitionary
1.86	11.78	0.301	abolitionism
3.28	12.6	1.0792	abolitionist
		1.1461	abolitionists
		0.301	abomasum
1.89	8.94	1.5185	abominable
1.58			abominableness
2.14		0.9542	abominably
1.68	15.0	0.6021	abominate
2.23	11.17	1.7709	abomination
		0.9031	abominations
2.9			abominator
3.12	14.75	1.0	aboriginal
1.65			aboriginality
		0.301	aboriginally
		0.301	aboriginals
3.6	12.56	0.6990000000000001	aborigine
		1.0	aborigines
	13.25	0.301	aborning
2.83	12.21	2.3729	abort
2.83		1.5185	aborted
		1.1461	aborting
3.41	13.21	2.5682	abortion
3.19	15.0	0.6990000000000001	abortionist
		0.301	abortionists
		1.5563	abortions
1.88	13.93	0.301	abortive
1.95		0.301	abortively
1.91			abortiveness
		0.301	aborts
2.27	11.65	1.2788	abound
		0.6021	abounded
2.04		0.6990000000000001	abounding
		1.0414	abounds
1.77	5.07	5.2677	about
		0.9542	abouts
3.33	4.55	3.3969	above
2.11			above all
2.8	13.0	1.1761	aboveboard
4.03	8.05	0.9031	aboveground
2.96	14.24	0.301	abovementioned
2.04	6.89	1.7324	abracadabra
2.5	14.0	0.301	abrade
		0.7782	abraded
2.83			abrader
		2.4232	abraham
		0.301	abraid
4.57	11.95	1.2788	abrasion
		1.7559	abrasions
3.03	12.22	1.3802	abrasive
2.07			abrasively
2.72	12.06	0.4771	abrasiveness
		0.6990000000000001	abrasives
		1.4771	abraxas
2.0			abreact
2.15	15.8	0.301	abreaction
2.23	13.06	1.4314	abreast
2.77	14.35	0.301	abridge
1.77	12.56	1.0	abridged
2.05	12.32	0.301	abridgement
3.09			abridger
		0.4771	abridging
2.67			abridgment
2.72	10.15	2.3997	abroad
1.85			abrogable
2.0	15.22	0.301	abrogate
		0.4771	abrogated
		0.301	abrogating
1.88			abrogation
1.45			abrogative
2.27	10.95	1.7709	abrupt
2.32	11.82	0.8451	abruption
2.36		1.6628	abruptly
2.04	12.39	0.6990000000000001	abruptness
		1.7404	abs
		0.6021	abscam
4.48	13.11	1.415	abscess
2.69		0.6021	abscessed
		0.9031	abscesses
1.91			abscise
2.9			abscissa
2.0			abscission
2.35	13.36	0.7782	abscond
2.3		0.7782	absconded
2.68	16.62	0.301	absconder
		0.4771	absconders
		0.6021	absconding
		0.301	abseiling
2.31	7.7	2.5092	absence
		1.1761	absences
2.7	6.5	2.1206	absent
3.29	11.0	1.2788	absentee
2.35	13.43	0.7782	absenteeism
		0.6990000000000001	absentees
2.19			absenter
		1.0	absentia
		0.4771	absenting
1.71			absently
2.0	10.84	0.6021	absentminded
1.76			absentmindedly
1.75	9.61	0.301	absentmindedness
1.88			absentness
4.3	16.29	1.4624	absinthe
		0.6021	absinthes
2.29			absinthian
		0.301	absinthium
		0.301	absit
1.81	8.53	2.7619	absolute
1.97	7.08	3.7612	absolutely
1.5	12.68	0.301	absoluteness
		1.3424	absolutes
1.78	11.71	1.6902	absolution
		0.301	absolutions
1.46			absolutism
2.7			absolutist
1.76			absolutistic
1.58			absolutory
1.8			absolvable
1.85	12.9	1.4771	absolve
		1.2041	absolved
1.91			absolvent
1.78	13.6	0.6990000000000001	absolver
		0.6990000000000001	absolves
		0.7782	absolving
3.11	8.83	2.0086	absorb
2.38			absorbability
2.47			absorbable
2.44		1.8976	absorbed
2.12			absorbedly
2.09			absorbedness
2.97			absorbency
3.1	10.32	0.9542	absorbent
2.96	10.33	0.6021	absorber
		0.9542	absorbers
3.33		1.3802	absorbing
2.04			absorbingly
		1.415	absorbs
		0.6021	absorbtion
3.22	10.94	1.2788	absorption
		0.301	absorptions
2.24			absorptive
2.19			absorptiveness
2.38	12.95	1.4314	abstain
		0.6990000000000001	abstained
2.62			abstainer
		0.301	abstainers
		0.9542	abstaining
		0.4771	abstains
1.62			abstemious
2.21			abstemiously
2.07			abstemiousness
2.16	15.19	0.8451	abstention
		0.301	abstentions
1.59			abstentious
2.0			abstergent
1.72	12.74	1.6628	abstinence
1.77		0.6021	abstinent
2.0			abstinently
1.45	11.47	2.0492	abstract
1.48		0.6021	abstracted
1.54			abstractedly
1.59			abstractedness
2.65			abstracter
		0.301	abstracting
1.57	13.65	1.2041	abstraction
1.75			abstractionism
2.52	14.72	0.301	abstractionist
		0.7782	abstractions
1.6			abstractive
1.36		0.4771	abstractly
1.5			abstractness
2.8			abstractor
		0.9031	abstracts
1.62	14.6	0.6021	abstruse
1.58			abstrusely
1.62			abstruseness
1.64	10.5	2.6955	absurd
	13.0	0.301	absurdist
		0.8451	absurdities
1.25	13.21	1.5185	absurdity
1.55		1.2041	absurdly
1.46			absurdness
		1.0792	abt
		2.1206	abu
		0.301	abulia
2.21	10.45	1.6628	abundance
2.83	12.84	1.4771	abundant
2.22		1.3424	abundantly
2.71	8.61	2.7193	abuse
		2.3655	abused
3.86	9.94	1.2304	abuser
		1.0792	abusers
		1.415	abuses
		1.7924	abusing
2.55	9.58	1.9243	abusive
2.2			abusively
1.84	10.47	0.301	abusiveness
2.78	13.11	0.8451	abut
2.08			abutilon
2.94	15.33	0.8451	abutment
		0.301	abutments
		0.4771	abuts
2.18			abuttal
3.38			abutter
2.94		0.301	abutting
2.22	13.0	0.4771	abuzz
2.63	15.25		abysm
1.58	13.78	1.3424	abysmal
2.12		0.301	abysmally
3.07	11.0	1.959	abyss
2.27	17.27	0.301	abyssal
		0.4771	abysses
		0.9542	abyssinia
		1.0	abyssinian
		0.6990000000000001	abyssus
	10.75	2.0453	ac
3.93	14.25	0.9542	acacia
2.96	13.27	0.4771	academe
		0.301	academes
2.12	13.74	1.1139	academia
2.11	9.74	2.3784	academic
3.71			academic year
1.9		1.0792	academically
2.35			academicals
3.48	15.21	0.301	academician
2.22	15.0		academicism
		1.5563	academics
		0.9031	academies
1.89			academism
4.29	9.05	2.8021	academy
		0.6021	acadia
2.0			acajou
3.0			acanthine
3.0			acanthocephalan
2.89			acanthodian
3.83	15.17	0.301	acanthus
		1.9191	acapulco
2.42			acatalectic
		0.9542	acc
		0.301	accademia
		0.301	accadian
